Altium Designer Pick and Place Locations
C:\Users\sam\Platform_V2\Project Outputs for Phantom_Platform\Pick Place for PCB_V2.csv

========================================================================================================================
File Design Information:

Date:       01/12/21
Time:       17:05
Revision:   a7a7defcc5bf7fd3e6de1c4c0bc0b5fa10b4b24c
Variant:    No variations
Units used: mil

"Designator","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation"
"L4","TopLayer","WE-LHMI_7050","2717.520","1037.402","90"
"L3","TopLayer","WE-LHMI_7050","3638.780","2902.559","90"
"L2","TopLayer","WE-LHMI_7050","3049.213","2894.685","90"
"J15","TopLayer","MOLX-53048-0610_V","478.378","3514.197","180"
"C26","TopLayer","FP-GRM21B-0_2-e0_2_0_7-IPC_C","3082.677","3125.000","90"
"L1","TopLayer","WE-LHMI_7050","2446.882","2907.898","90"
"J12","TopLayer","648103131822","1340.583","3501.403","180"
"C64","TopLayer","FP-C0603C-CF-MFG","2150.000","1625.024","180"
"J18","TopLayer","61300511121","4232.000","2183.024","90"
"U1","TopLayer","FP-DRL0006A-MFG","871.866","633.024","0"
"C6","TopLayer","FP-C0603C-CF-MFG","948.000","660.646","270"
"C5","TopLayer","FP-CC0603-DA-MFG","1007.000","666.551","90"
"U9","TopLayer","44ML_M","2230.346","1919.709","0"
"J21","TopLayer","FP-PBC01SAAN-MFG","1862.000","2274.024","0"
"D7","TopLayer","BOUR-CD1206-S01575-2_L","1681.102","294.291","180"
"SW2","TopLayer","TECO-1825910-6_V","1645.000","498.024","270"
"J2","TopLayer","FP-031-5540-MFG","564.961","412.795","0"
"J3","TopLayer","FP-031-5540-MFG","1196.653","412.795","0"
"C40","TopLayer","FP-CC0603-DA-MFG","3521.000","3505.024","180"
"C28","TopLayer","FP-CC0603-DA-MFG","2918.000","3491.024","180"
"C16","TopLayer","FP-CC0603-DA-MFG","2345.528","3480.024","180"
"C60","TopLayer","FP-CC0603-DA-MFG","1873.000","1937.024","0"
"J11","TopLayer","648103131822","2592.000","321.503","0"
"U6","TopLayer","DRL0006A","3624.047","2632.307","270"
"R19","TopLayer","RESC1609X50X30NL8T20","3667.354","2541.756","90"
"R18","TopLayer","FP-CRCW0603-e3-MFG","3616.173","2533.882","270"
"R15","TopLayer","RESC1609X50X30NL8T20","3084.677","2545.693","90"
"R14","TopLayer","FP-CRCW0603-e3-MFG","3029.559","2533.882","270"
"R11","TopLayer","RESC1609X50X30NL8T20","2485.236","2559.055","90"
"R10","TopLayer","FP-CRCW0603-e3-MFG","2429.000","2553.024","270"
"PJ1","TopLayer","CUI-PJ-002A_V","3149.638","459.079","270"
"C3","TopLayer","CAPC0603(1608)100_N","612.205","2695.866","270"
"C4","TopLayer","FP-C0603C-CF-MFG","563.976","2694.882","270"
"C1","TopLayer","FP-CC0603-DA-MFG","2033.496","1659.866","270"
"C2","TopLayer","FP-CC0603-DA-MFG","2563.023","2006.323","0"
"C7","TopLayer","FP-C1608-080-0_1-IPC_B","2368.142","2659.866","270"
"C8","TopLayer","FP-C1608-080-0_1-IPC_B","2564.992","2655.929","90"
"C9","TopLayer","FP-GRM21B-0_15-IPC_A","2738.220","2628.370","270"
"C10","TopLayer","FP-GRM21B-0_15-IPC_A","2643.732","2628.370","270"
